eid source target dir capacity speed_kmh highway cost_time_m dist_km
76 17711 5381 1 5400 64.3736 primary 0.0656651629683 0.0541936273699
77 5381 5380 1 5400 64.3736 primary 0.441099984351 0.364040948111
78 5380 5379 1 5400 64.3736 primary 0.171011080675 0.141135883371
79 5379 5378 1 5400 64.3736 primary 0.140982215871 0.116352984251
80 5378 5375 1 5400 64.3736 primary 0.297618543242 0.245625346862
81 5375 18054 1 5400 64.3736 primary 0.0715258324627 0.059030452931
82 18054 18059 1 5400 64.3736 primary 0.0195965005007 0.0161730421106
83 18059 33047 1 5400 64.3736 primary 0.68367732186 0.56424064675
84 33047 33046 1 5400 64.3736 primary 0.135057875905 0.111463611286
85 33046 33045 1 5400 64.3736 primary 0.299936360393 0.2475382473
86 33045 33044 1 5400 64.3736 primary 0.0704299637803 0.0581260296975
87 33044 33043 1 5400 64.3736 primary 0.023760572974 0.0196096618
88 33043 33042 1 5400 64.3736 primary 0.0679294066353 0.0560623134741
89 33042 33039 1 5400 64.3736 primary 0.3038541659 0.25077162223
90 33039 33034 1 5400 64.3736 primary 0.138728814642 0.114493246439
91 33034 33032 1 5400 64.3736 primary 0.166763584248 0.137630413679
92 33032 33025 1 5400 64.3736 primary 0.439776873841 0.362948981614
93 33025 13171 1 5400 64.3736 primary 0.0744086610835 0.0614096587836
94 13171 13174 1 5400 64.3736 primary 0.0431962066089 0.0356499400738
95 13174 33020 1 5400 64.3736 primary 0.203617206955 0.168045802996
96 33020 33017 1 5400 64.3736 primary 0.0187962149777 0.0155125644165
97 33017 33014 1 5400 64.3736 primary 0.280704704846 0.231666312665
98 33014 33016 1 5400 64.3736 primary 0.0233172863328 0.0192438161984
99 33016 26635 1 5400 64.3736 primary 0.342879204241 0.282979086437
100 26635 26633 1 5400 64.3736 primary 0.0136686575123 0.0112807780928
101 26633 6576 1 5400 64.3736 primary 0.294314285821 0.24289833474
102 6576 13149 1 5400 64.3736 primary 0.0328725382441 0.0271297901014
103 13149 451 1 5400 64.3736 primary 0.0704352989075 0.0581304327917
104 451 18642 1 5400 64.3736 primary 0.307815104274 0.254040594827
105 18642 18646 1 5400 64.3736 primary 0.13472565329 0.11118942711
106 18646 18648 1 5400 64.3736 primary 0.168978183943 0.139458128486
107 18648 18649 1 5400 64.3736 primary 0.145281158438 0.119900912574
108 18649 18650 1 5400 64.3736 primary 0.135043009262 0.111451341808
109 18650 18651 1 5400 64.3736 primary 0.161944791777 0.133653451896
110 18651 18652 1 5400 64.3736 primary 0.0558387949004 0.0460839006077
111 18652 8606 1 5400 64.3736 primary 0.0839947300263 0.0693210660618
112 8606 13118 1 5400 64.3736 primary 0.0142496331182 0.01176025875
113 19656 19669 0 5400 64.3736 primary 0.0622586570517 0.0513822293023
114 19669 19656 0 5400 64.3736 primary 0.0622586570517 0.0513822293023
115 19675 19677 1 6900 96.5604 motorway 0.363842993469 0.450420833161
116 19677 19679 1 6900 96.5604 motorway 0.342672662888 0.424212940994
117 12997 12990 1 6900 96.5604 motorway 0.187264710902 0.23182506911
118 13014 12997 1 6900 96.5604 motorway 0.365526783318 0.45250528728
119 22118 13105 1 5400 64.3736 primary 0.0378527205353 0.031239947316
120 13105 19075 1 5400 64.3736 primary 0.98304644858 0.811310754645
121 19075 8357 1 5400 64.3736 primary 0.0598713035575 0.0494119403421
122 8357 6425 1 5400 64.3736 primary 0.0136867773442 0.0112957324364
123 12987 19713 1 8100 64.3736 motorway_link 1.07202328373 0.884743564839
124 19712 3714 1 8100 64.3736 motorway_link 0.451614559345 0.372718653813
125 19722 19728 1 8100 64.3736 motorway_link 1.02690140763 0.847504364795
126 3939 19739 1 8100 64.3736 motorway_link 0.922244213027 0.76113051374
127 19741 19742 1 8100 64.3736 motorway_link 0.129256243515 0.106675509199
128 19742 19776 1 8100 64.3736 motorway_link 0.842839910266 0.69559793907
129 19739 19741 1 6900 96.5604 motorway 0.0516104691581 0.0638913787961
130 32005 8371 1 8100 64.3736 motorway_link 0.175477630204 0.14482213815
131 13786 3297 1 1900 48.2802 primary_link 0.248039988281 0.153531028746
132 3297 10759 1 1900 48.2802 primary_link 0.0767736742764 0.0475211326769
133 27994 3652 1 6900 96.5604 motorway 0.516735858259 0.639695143177
134 3652 2355 1 6900 96.5604 motorway 0.0984767782037 0.121909706334
135 2355 8525 1 6900 96.5604 motorway 0.526463104701 0.651737025323
136 19767 12185 1 6900 96.5604 motorway 0.112628719291 0.139429156233
137 32038 32035 1 8100 64.3736 motorway_link 0.183115313727 0.151125537945
138 12804 8371 1 5400 64.3736 primary 0.983114247707 0.811366709438
139 8371 3069 1 5400 64.3736 primary 0.298942322821 0.246717865543
140 3069 3070 1 5400 64.3736 primary 0.0352716569572 0.0291097889269
141 3070 32008 1 5400 64.3736 primary 0.110775000197 0.0914228917009
142 32008 32015 1 5400 64.3736 primary 1.50331657035 1.24069102017
