nid lon lat node_id
1 46.5439865 24.6343386 3293446144
2 46.6172842 24.7130437 1472528384
3 46.5427086 24.6344525 3293446149
4 46.5547568 24.6344539 3293446150
5 46.5961395 24.6496914 1698824201
6 46.7164978 24.7897253 1710708055
7 46.5318897 24.6345269 3293446156
8 46.5980992 24.6516381 1698824207
9 46.5617302 24.634588 3293446161
10 46.5497068 24.6345895 3293446163
11 46.5686696 24.63465 3293446164
12 46.549833 24.6346702 3293446165
13 46.5616421 24.6347057 3293446167
14 46.5694082 24.6347123 3293446168
15 46.5377716 24.6347199 3293446169
16 46.5496002 24.6347317 3293446170
17 46.5687988 24.6347391 3293446171
18 46.5497264 24.6348119 3293446175
19 46.5655813 24.7431812 3393060896
20 46.8342654 24.3964128 3402782043
21 46.5376646 24.6348623 3293446181
22 46.7779833 24.6762283 598190769
23 46.7196404 24.7873852 1710708060
24 46.5625278 24.7542335 3393060906
25 46.5625447 24.7422051 3393060907
26 46.5629032 24.7419702 3393060908
27 46.5627787 24.7421012 3393060909
28 46.5628115 24.7421086 3393060910
29 46.8342999 24.3965967 3402782045
30 46.5629182 24.7420245 3393060912
31 46.5693971 24.6350939 3293446194
32 46.7165169 24.6381206 506593335
33 46.5504169 24.6352414 3293446201
34 46.5382905 24.6352507 3293446202
35 46.568182 24.6353049 3293446205
36 46.7176962 24.6382657 506593344
37 46.5630031 24.7421981 3393060929
38 46.5577467 24.6353523 3293446212
39 46.8323119 24.6849055 3412088161
40 46.5634257 24.7427191 3393060936
41 46.5511499 24.6354937 3293446217
42 46.5391022 24.6355334 3293446219
43 46.7149805 24.6387269 506593358
44 46.5845582 24.6356354 3293446223
45 46.5539297 24.6358187 3293446234
46 46.5418933 24.6358243 3293446235
47 46.5638548 24.6358444 3293446236
48 46.7177606 24.6402156 506593374
49 46.5538245 24.6359578 3293446239
50 46.541803 24.6359438 3293446240
51 46.5637401 24.6359976 3293446242
52 46.5365465 24.6360557 3293446244
53 46.5399723 24.6360654 3293446245
54 46.5982924 24.6518266 1698824209
55 46.5973807 24.6525538 1698824298
56 46.7191386 24.7822991 1710708071
57 46.5607146 24.6361947 3293446254
58 46.5425074 24.6362093 3293446255
59 46.5545562 24.6362115 3293446256
60 46.534584 24.636216 3293446257
61 46.5645252 24.6362658 3293446259
62 46.5474672 24.636283 3293446260
63 46.7176598 24.6406166 506593397
64 46.5974737 24.6526383 1698824310
65 46.5685658 25.0076472 3359899767
66 46.5975909 24.6523861 1698824313
67 46.5976819 24.6524723 1698824315
68 46.5702487 25.0044344 3359899772
69 46.5982332 24.6518738 1698824318
70 46.7174526 24.6412528 506593407
71 46.6357682 24.791643 3362630336
72 46.5641297 25.0163404 3359899779
73 46.5669481 25.0175879 3359899780
74 46.5742674 25.0100349 3359899781
75 46.5743537 25.0100975 3359899782
76 46.571235 25.0161644 3359899783
77 46.5640716 25.0164513 3359899784
78 46.5679219 25.0204448 3359899787
79 46.5666429 25.0229738 3359899789
80 46.579739 25.0222197 3359899790
81 46.5799688 25.0221927 3359899792
82 46.5680439 25.0204903 3359899793
83 46.5667606 25.0230239 3359899794
84 46.5666341 25.0232381 3359899796
85 46.5679776 25.0206287 3359899797
86 46.717223 24.641843 506593430
87 46.5666866 25.0176199 3359899801
88 46.5668122 25.0175278 3359899802
89 46.5668065 25.0176735 3359899803
90 46.5711561 25.0160864 3359899804
91 46.5711058 25.0161937 3359899805
92 46.5722205 25.0191577 3359899806
93 46.5721753 25.0190422 3359899807
94 46.5723049 25.0189997 3359899808
95 46.5983821 24.6519141 1698824353
96 46.5712942 25.0160523 3359899810
97 46.8495251 24.5745208 3188107974
98 46.5648255 25.0149799 3359899821
99 46.5466389 24.8410344 3361865902
100 46.714988 24.6391767 506593464
101 46.5671551 25.0219599 3359899835
102 46.7177315 24.6391451 506593469
103 46.5589465 25.019701 3359899838
104 46.5625818 25.0184297 3359899841
105 46.5574419 25.0190611 3359899842
106 46.598705 24.879877 3360467659
107 46.5629777 25.0176556 3359899845
108 46.5989123 24.8793826 3360467660
109 46.6937654 24.6735924 497330893
110 46.5849628 24.638719 1698824401
111 46.5632416 25.0035113 3359899859
112 46.6445844 24.6231583 528351446
113 46.6454192 24.6231025 528351449
114 46.5751398 25.0087883 3359899872
115 46.6041568 24.8829998 3360467664
116 46.5764583 25.0122609 3359899874
117 46.5791166 25.0189175 3359899884
118 46.5733856 25.0120237 3359899885
119 46.694436 24.7496183 443810030
120 46.7156243 24.6452767 506593526
121 46.6444657 24.6191759 528351480
122 46.5796125 25.0201939 3359899897
123 46.7162413 24.6439547 506593530
124 46.7138349 24.6432183 506593532
125 46.5691153 25.0240252 3359899904
126 46.5682977 25.0236775 3359899908
127 46.5747647 25.0200932 3359899913
128 46.5792282 25.0220014 3359899919
129 46.5720858 25.0252884 3359899922
130 46.7230888 24.7888522 1710708099
131 46.5795636 25.0280394 3359899926
132 46.5831016 25.0218777 3359899929
133 46.579391 25.0291454 3359899930
134 46.5764555 25.0348743 3359899931
135 46.5779865 25.0319022 3359899935
136 46.5830116 25.0215507 3359899939
137 46.6990337 24.7519028 443810086
138 46.5832118 25.0216953 3359899945
139 46.8139253 24.6509948 2281395592
140 46.5828068 25.0217267 3359899959
141 46.5828762 25.0215892 3359899960
142 46.583493 25.021167 3359899961
143 46.584084 25.0200103 3359899963
144 46.5594977 24.6362875 3293446461
145 46.5524625 24.6363146 3293446462
146 46.5404178 24.6363378 3293446463
147 46.5893794 25.0218907 3359899972
148 46.5883657 25.0204804 3359899974
149 46.584696 25.0188126 3359899975
150 46.5473669 24.6364631 3293446473
151 46.5633074 24.6365755 3293446477
152 46.5352133 24.6366107 3293446478
153 46.567359 24.6366384 3293446480
154 46.5410131 24.6367017 3293446482
155 46.5530876 24.6367055 3293446483
156 46.5720326 24.6360666 1698824534
157 46.5627333 24.7419715 3393060921
158 46.6464873 24.6129979 528351576
159 46.5532037 24.6367781 3293446489
160 46.5672453 24.6367882 3293446490
161 46.5411618 24.6367926 3293446491
162 46.5431905 24.6368169 3293446492
163 46.5552249 24.6368308 3293446494
164 46.5553471 24.6369069 3293446498
165 46.5432859 24.6368769 3293446499
166 46.5679611 24.6370146 3293446502
167 46.5422668 24.6181297 1698824552
168 46.5659085 24.6371353 3293446507
169 46.5856627 24.6371707 3293446510
170 46.5368322 24.6371765 3293446511
171 46.5489299 24.637201 3293446512
172 46.5559112 24.6372586 3293446518
173 46.5562718 24.6372871 3293446521
174 46.5439318 24.6372835 3293446522
175 46.5625724 24.6373254 3293446524
176 46.7134044 24.6445909 506593661
177 46.553839 24.6373698 3293446526
178 46.7134303 24.6444852 506593663
179 46.5417679 24.6374083 3293446528
180 46.5665324 24.6375207 3293446531
181 46.5597399 24.6374933 3293446532
182 46.6644386 24.7789341 521798022
183 46.5684917 24.6375624 3293446537
184 46.5666356 24.6375925 3293446540
185 46.5425624 24.6376498 3293446541
186 46.5546061 24.6376551 3293446542
187 46.568663 24.6376688 3293446544
188 46.5258643 24.63075 1698824594
189 46.5545079 24.6377858 3293446547
190 46.5714083 24.6356126 1698824596
191 46.5424329 24.6378215 3293446549
192 46.8138889 24.7431326 667899290
193 46.8296125 24.6031854 825173678
194 46.5695841 24.6380287 3293446560
195 46.5692603 24.6380398 3293446561
196 46.5863577 24.6380445 3293446562
197 46.5572828 24.6381136 3293446566
198 46.5452455 24.6381102 3293446568
199 46.567175 24.6381384 3293446569
200 46.5506102 24.6382557 3293446570
201 46.563976 24.635452 3293446215
202 46.5380042 24.6382968 3293446577
203 46.5459113 24.6383433 3293446578
204 46.754305 24.5846499 1995090675
205 46.5579802 24.6383582 3293446580
206 46.5678817 24.6383758 3293446581
207 46.5629818 24.6384658 3293446582
208 46.5726557 24.6385101 3293446584
209 46.5677778 24.6385142 3293446586
210 46.5700533 24.6385324 3293446587
211 46.5628269 24.6385513 3293446588
212 46.7238202 24.778679 1710708128
213 46.5707684 24.6387457 3293446598
214 46.558613 24.638755 3293446599
215 46.5465815 24.6387618 3293446601
216 46.546701 24.6388384 3293446605
