id	layer	num1	num2	num3	lon	pos	Station	st_x	st_y	lat	proximity_to_metro
taz_14510	taz	3509	1632	667	46.653307	(24.731608999999999, 46.653306999999998)	None	None	None	24.731609	0.656662317784
taz_14511	taz	3510	8057	656	46.650378	(24.737452999999999, 46.650378000000003)	None	None	None	24.737453	1.30409880836
streets_10083	streets	None	None	None	None	(24.665568049580699, 46.710551854235497)	None	46.7105518542	24.6655680496	None	None
streets_7189	streets	None	None	None	None	(24.593621010488402, 46.67176934458071)	None	46.6717693446	24.5936210105	None	None
taz_6964	taz	2333	7460	1349	46.724544	(24.621952, 46.724544000000002)	None	None	None	24.621952	0.657434638229
streets_7187	streets	None	None	None	None	(24.641709340779901, 46.777652514193896)	None	46.7776525142	24.6417093408	None	None
streets_7186	streets	None	None	None	None	(24.684124917153898, 46.759359878635699)	None	46.7593598786	24.6841249172	None	None
streets_7185	streets	None	None	None	None	(24.4885973324429, 46.886084987464294)	None	46.8860849875	24.4885973324	None	None
streets_7184	streets	None	None	None	None	(24.666018776588302, 46.648846505756801)	None	46.6488465058	24.6660187766	None	None
streets_10432	streets	None	None	None	None	(24.7832078294601, 46.617683195244595)	None	46.6176831952	24.7832078295	None	None
streets_8524	streets	None	None	None	None	(24.8011559733275, 46.8904185472772)	None	46.8904185473	24.8011559733	None	None
streets_8525	streets	None	None	None	None	(24.683794911532001, 46.777792567548801)	None	46.7777925675	24.6837949115	None	None
streets_8526	streets	None	None	None	None	(24.714521518547897, 46.620176639189701)	None	46.6201766392	24.7145215185	None	None
streets_8527	streets	None	None	None	None	(24.658145105545, 46.716198237738297)	None	46.7161982377	24.6581451055	None	None
streets_8520	streets	None	None	None	None	(24.631681689833304, 46.693476370351497)	None	46.6934763704	24.6316816898	None	None
streets_8522	streets	None	None	None	None	(24.564326063834702, 46.850030571854198)	None	46.8500305719	24.5643260638	None	None
streets_8523	streets	None	None	None	None	(24.645235435323702, 46.698367031509001)	None	46.6983670315	24.6452354353	None	None
streets_10434	streets	None	None	None	None	(24.851842817239298, 46.642620700449001)	None	46.6426207004	24.8518428172	None	None
streets_8528	streets	None	None	None	None	(24.655441901983501, 46.715522181580297)	None	46.7155221816	24.655441902	None	None
streets_8529	streets	None	None	None	None	(24.768716648859801, 46.656053737628)	None	46.6560537376	24.7687166489	None	None
taz_6960	taz	839	4131	779	46.641453	(24.708183999999999, 46.641453000000006)	None	None	None	24.708184	0.825638419007
streets_10436	streets	None	None	None	None	(24.680085702455397, 46.731887112282294)	None	46.7318871123	24.6800857025	None	None
streets_10437	streets	None	None	None	None	(25.035305395639199, 46.513857811116104)	None	46.5138578111	25.0353053956	None	None
streets_6584	streets	None	None	None	None	(24.815304286764, 46.719200809570502)	None	46.7192008096	24.8153042868	None	None
streets_6585	streets	None	None	None	None	(24.767502435558299, 46.747025520106106)	None	46.7470255201	24.7675024356	None	None
streets_6586	streets	None	None	None	None	(24.6507992027949, 46.685765904260798)	None	46.6857659043	24.6507992028	None	None
streets_6587	streets	None	None	None	None	(24.713476101988, 46.665748842970203)	None	46.665748843	24.713476102	None	None
streets_958	streets	None	None	None	None	(24.7572408649728, 46.660538338886397)	None	46.6605383389	24.757240865	None	None
streets_959	streets	None	None	None	None	(24.6764414008979, 46.659837100678999)	None	46.6598371007	24.6764414009	None	None
streets_6582	streets	None	None	None	None	(24.907943442144699, 46.707945809789202)	None	46.7079458098	24.9079434421	None	None
streets_6583	streets	None	None	None	None	(24.583545945711101, 46.878079408569796)	None	46.8780794086	24.5835459457	None	None
streets_954	streets	None	None	None	None	(24.732127903461198, 46.756693939037)	None	46.756693939	24.7321279035	None	None
streets_955	streets	None	None	None	None	(24.841153531703501, 46.686528978368699)	None	46.6865289784	24.8411535317	None	None
streets_956	streets	None	None	None	None	(24.845205367976103, 46.716921776908706)	None	46.7169217769	24.845205368	None	None
streets_957	streets	None	None	None	None	(24.7395351127842, 46.760418799375707)	None	46.7604187994	24.7395351128	None	None
streets_6588	streets	None	None	None	None	(24.796947731873001, 46.8527977449383)	None	46.8527977449	24.7969477319	None	None
streets_6589	streets	None	None	None	None	(24.609717445139299, 46.708756869039298)	None	46.708756869	24.6097174451	None	None
streets_952	streets	None	None	None	None	(24.541351362924498, 46.675231617585901)	None	46.6752316176	24.5413513629	None	None
streets_953	streets	None	None	None	None	(24.658884203037299, 46.705009488804997)	None	46.7050094888	24.658884203	None	None
streets_7231	streets	None	None	None	None	(24.796553915192298, 46.844116242110999)	None	46.8441162421	24.7965539152	None	None
streets_7230	streets	None	None	None	None	(24.9244111820373, 46.973205160950606)	None	46.973205161	24.924411182	None	None
streets_12694	streets	None	None	None	None	(24.610511229635897, 46.758580989610302)	None	46.7585809896	24.6105112296	None	None
streets_13160	streets	None	None	None	None	(24.672472005901199, 46.734051458068706)	None	46.7340514581	24.6724720059	None	None
streets_12695	streets	None	None	None	None	(24.7847371994288, 46.854418057725198)	None	46.8544180577	24.7847371994	None	None
streets_10486	streets	None	None	None	None	(24.843934853489397, 46.598160145146501)	None	46.5981601451	24.8439348535	None	None
streets_12692	streets	None	None	None	None	(24.716072910774603, 46.663016346212203)	None	46.6630163462	24.7160729108	None	None
streets_12690	streets	None	None	None	None	(24.654963504678999, 46.712938308889207)	None	46.7129383089	24.6549635047	None	None
streets_12691	streets	None	None	None	None	(24.729553426954304, 46.868080372910697)	None	46.8680803729	24.729553427	None	None
taz_12217	taz	2227	7891	1428	46.688985	(24.565953, 46.688984999999995)	None	None	None	24.565953	5.29951191788
taz_12216	taz	2230	7891	383	46.688985	(24.565953, 46.688984999999995)	None	None	None	24.565953	5.29951191788
taz_12215	taz	2229	954	383	46.68668	(24.564191000000001, 46.686679999999996)	None	None	None	24.564191	5.46487178267
taz_12214	taz	2232	3997	1425	46.698912	(24.57, 46.698912)	None	None	None	24.57	4.25533587949
taz_12213	taz	2231	3039	1426	46.678118	(24.551784000000001, 46.678117999999998)	None	None	None	24.551784	6.1186637854
taz_12212	taz	2224	8832	1420	46.69428	(24.577566000000001, 46.694279999999999)	None	None	None	24.577566	4.05036354994
taz_12211	taz	2223	2718	1422	46.681507	(24.549119000000001, 46.681507000000003)	None	None	None	24.549119	6.57135269748
taz_12219	taz	2225	1502	1420	46.695757	(24.578914999999999, 46.695757)	None	None	None	24.578915	3.8411049497
taz_12218	taz	2228	2950	383	46.689199	(24.5611, 46.689199000000002)	None	None	None	24.5611	5.6203530046
streets_378	streets	None	None	None	None	(24.7872983486082, 46.796925566583099)	None	46.7969255666	24.7872983486	None	None
streets_379	streets	None	None	None	None	(24.692548490815, 46.664384618851003)	None	46.6643846189	24.6925484908	None	None
streets_9696	streets	None	None	None	None	(24.745873559348997, 46.816558335576602)	None	46.8165583356	24.7458735593	None	None
streets_9690	streets	None	None	None	None	(24.672059629433303, 46.698237328790597)	None	46.6982373288	24.6720596294	None	None
streets_370	streets	None	None	None	None	(24.759113866635801, 46.8021649908138)	None	46.8021649908	24.7591138666	None	None
streets_371	streets	None	None	None	None	(24.710850076853401, 46.692244057185498)	None	46.6922440572	24.7108500769	None	None
streets_372	streets	None	None	None	None	(24.791615554250196, 46.704765461320498)	None	46.7047654613	24.7916155543	None	None
streets_373	streets	None	None	None	None	(24.485400422270303, 46.852046218070498)	None	46.8520462181	24.4854004223	None	None
streets_374	streets	None	None	None	None	(24.6916315710994, 46.632985659591291)	None	46.6329856596	24.6916315711	None	None
streets_375	streets	None	None	None	None	(24.701711234044499, 46.680334023159894)	None	46.6803340232	24.701711234	None	None
streets_376	streets	None	None	None	None	(24.649809423565603, 46.759510239864206)	None	46.7595102399	24.6498094236	None	None
streets_377	streets	None	None	None	None	(24.447154350016103, 46.754054145083799)	None	46.7540541451	24.44715435	None	None
streets_3589	streets	None	None	None	None	(24.787397019898101, 46.746886090456705)	None	46.7468860905	24.7873970199	None	None
streets_3588	streets	None	None	None	None	(24.6520775327742, 46.844798743993799)	None	46.844798744	24.6520775328	None	None
streets_3587	streets	None	None	None	None	(24.657063700668601, 46.842023722819604)	None	46.8420237228	24.6570637007	None	None
streets_1173	streets	None	None	None	None	(24.946243695721002, 46.556874608990604)	None	46.556874609	24.9462436957	None	None
streets_1174	streets	None	None	None	None	(24.738155698124899, 46.8369924674681)	None	46.8369924675	24.7381556981	None	None
streets_1175	streets	None	None	None	None	(24.7184221433624, 46.769384572089201)	None	46.7693845721	24.7184221434	None	None
streets_1176	streets	None	None	None	None	(24.946040646756501, 46.556864628875893)	None	46.5568646289	24.9460406468	None	None
streets_1177	streets	None	None	None	None	(24.661148199540001, 46.679964480787106)	None	46.6799644808	24.6611481995	None	None
streets_1178	streets	None	None	None	None	(24.905325652596602, 46.625280325202397)	None	46.6252803252	24.9053256526	None	None
streets_1179	streets	None	None	None	None	(24.650885054425697, 46.685960321925201)	None	46.6859603219	24.6508850544	None	None
streets_3585	streets	None	None	None	None	(24.782423831687698, 46.792900220913403)	None	46.7929002209	24.7824238317	None	None
streets_4528	streets	None	None	None	None	(25.022763310159899, 46.567501435115098)	None	46.5675014351	25.0227633102	None	None
streets_4529	streets	None	None	None	None	(24.621722859524898, 46.722090955618107)	None	46.7220909556	24.6217228595	None	None
streets_9341	streets	None	None	None	None	(24.642533203849101, 46.708156012492893)	None	46.7081560125	24.6425332038	None	None
streets_3584	streets	None	None	None	None	(24.769471680507003, 46.842423077972711)	None	46.842423078	24.7694716805	None	None
streets_9347	streets	None	None	None	None	(24.7283523541373, 46.602697409258496)	None	46.6026974093	24.7283523541	None	None
streets_9346	streets	None	None	None	None	(24.695902039876398, 46.692303953947402)	None	46.6923039539	24.6959020399	None	None
streets_9345	streets	None	None	None	None	(24.617050252251602, 46.731934350653894)	None	46.7319343507	24.6170502523	None	None
streets_9344	streets	None	None	None	None	(24.859710786377896, 46.600692187913396)	None	46.6006921879	24.8597107864	None	None
streets_4520	streets	None	None	None	None	(24.694479956642102, 46.760783837056799)	None	46.7607838371	24.6944799566	None	None
streets_3583	streets	None	None	None	None	(24.814988082551199, 46.812508842546393)	None	46.8125088425	24.8149880826	None	None
streets_4522	streets	None	None	None	None	(24.839513083803396, 46.850121595720701)	None	46.8501215957	24.8395130838	None	None
streets_4523	streets	None	None	None	None	(24.651129039074398, 46.688957662185103)	None	46.6889576622	24.6511290391	None	None
streets_4524	streets	None	None	None	None	(24.710899935901701, 46.688420215207302)	None	46.6884202152	24.7108999359	None	None
streets_4525	streets	None	None	None	None	(24.632556352045302, 46.7105280644234)	None	46.7105280644	24.632556352	None	None
streets_4526	streets	None	None	None	None	(24.7476104261697, 46.652466693372602)	None	46.6524666934	24.7476104262	None	None
streets_3582	streets	None	None	None	None	(24.657817676785999, 46.792186857924698)	None	46.7921868579	24.6578176768	None	None
streets_3581	streets	None	None	None	None	(25.0497520561028, 46.700924495036901)	None	46.700924495	25.0497520561	None	None
streets_9684	streets	None	None	None	None	(24.792614120055898, 46.760316452320502)	None	46.7603164523	24.7926141201	None	None
streets_3580	streets	None	None	None	None	(24.7209559106002, 46.854283276616002)	None	46.8542832766	24.7209559106	None	None
