source	target	layer	capacity	weight	time_s	dist_km	len_km	cost_time_m	To	gid	From
streets_4462	streets_10701	streets	6963	1.2021065853	None	2.02354608526	2.02354608526	1.2021065853	None	15484	None
streets_4465	streets_4814	streets	1900	0.218897806258	None	0.14958016761	0.14958016761	0.218897806258	None	19762	None
streets_4465	streets_1381	streets	1900	0.156103223291	None	0.106670535916	0.106670535916	0.156103223291	None	19763	None
streets_4464	streets_4037	streets	6963	0.0135257023819	None	0.0227682656761	0.0227682656761	0.0135257023819	None	4375	None
streets_4467	streets_867	streets	2850	0.253373580266	None	0.299825403315	0.299825403315	0.253373580266	None	11413	None
streets_4467	streets_1069	streets	2850	0.342138766295	None	0.233794823635	0.233794823635	0.342138766295	None	21502	None
streets_4466	streets_9886	streets	1900	1.85620635035	None	1.26840767274	1.26840767274	1.85620635035	None	15714	None
streets_4466	streets_7856	streets	1900	1.08744213012	None	0.743085455579	0.743085455579	1.08744213012	None	8770	None
streets_7984	streets_9434	streets	9405	2.18370391347	None	1.12824702196	1.12824702196	2.18370391347	None	15811	None
streets_7984	streets_9150	streets	9405	0.620069008011	None	0.320368987472	0.320368987472	0.620069008011	None	15849	None
streets_7984	streets_7981	streets	2850	1.03305622599	None	0.533745716761	0.533745716761	1.03305622599	None	9614	None
streets_7984	streets_1964	streets	2850	1.03318102454	None	0.533810196013	0.533810196013	1.03318102454	None	15636	None
streets_4512	streets_5989	streets	1900	0.844653709853	None	0.999506889993	0.999506889993	0.844653709853	None	5630	None
streets_4512	streets_10006	streets	3800	0.842951955963	None	0.857001155229	0.857001155229	0.842951955963	None	2893	None
streets_1615	streets_9228	streets	1900	0.0490940719835	None	0.0580946518472	0.0580946518472	0.0490940719835	None	9322	None
streets_1614	streets_1867	streets	2850	0.268229137311	None	0.317404479152	0.317404479152	0.268229137311	None	7331	None
streets_1614	streets_4368	streets	950	0.674519071172	None	0.460921365301	0.460921365301	0.674519071172	None	16762	None
streets_1617	streets_3610	streets	2850	0.0410048868806	None	0.0416883016619	0.0416883016619	0.0410048868806	None	21233	None
streets_1616	streets_2233	streets	950	0.0366293918424	None	0.0372398817065	0.0372398817065	0.0366293918424	None	18700	None
streets_1616	streets_255	streets	1900	0.485169715773	None	0.574117496998	0.574117496998	0.485169715773	None	15382	None
streets_4515	streets_8831	streets	1900	0.119121284432	None	0.140960186578	0.140960186578	0.119121284432	None	2750	None
streets_1611	streets_5875	streets	1900	0.415473141767	None	0.491643217757	0.491643217757	0.415473141767	None	13110	None
streets_6231	streets_4153	streets	1900	0.272307113078	None	0.32223008381	0.32223008381	0.272307113078	None	15297	None
streets_6231	streets_6657	streets	950	0.141905400714	None	0.144270490726	0.144270490726	0.141905400714	None	15164	None
streets_1610	streets_3352	streets	1900	0.133359428203	None	0.157808656706	0.157808656706	0.133359428203	None	9338	None
streets_3692	streets_2737	streets	2850	1.24767971462	None	0.852581138321	0.852581138321	1.24767971462	None	9319	None
streets_3692	streets_3440	streets	1900	0.0382436113646	None	0.0452549401148	0.0452549401148	0.0382436113646	None	8775	None
streets_1613	streets_1697	streets	950	0.0520633607286	None	0.0529310834075	0.0529310834075	0.0520633607286	None	9343	None
streets_9896	streets_8435	streets	2850	0.00598004998015	None	0.00607971747982	0.00607971747982	0.00598004998015	None	19512	None
streets_9896	streets_9075	streets	2850	0.0104587991446	None	0.0106331124637	0.0106331124637	0.0104587991446	None	8412	None
streets_1612	streets_2438	streets	1900	0.174252235534	None	0.206198478716	0.206198478716	0.174252235534	None	12546	None
streets_1612	streets_1561	streets	2850	0.999543395318	None	0.683021320134	0.683021320134	0.999543395318	None	9985	None
streets_9895	streets_9564	streets	6963	1.35434740502	None	2.27981813178	2.27981813178	1.35434740502	None	12611	None
streets_9895	streets_9894	streets	950	0.400853572217	None	0.407534465087	0.407534465087	0.400853572217	None	685	None
streets_5808	streets_5346	streets	9405	1.46521399689	None	0.757027231726	0.757027231726	1.46521399689	None	4304	None
streets_5808	streets_3718	streets	2850	1.92156579097	None	0.992808992	0.992808992	1.92156579097	None	17101	None
streets_5808	streets_7812	streets	2850	1.92150163641	None	0.992775845478	0.992775845478	1.92150163641	None	17100	None
streets_5808	streets_2138	streets	9405	0.934105730304	None	0.482621293991	0.482621293991	0.934105730304	None	17964	None
streets_5809	streets_4649	streets	1900	0.394732687077	None	0.467100346375	0.467100346375	0.394732687077	None	11912	None
streets_5809	streets_5806	streets	950	0.0430601701454	None	0.0437778396479	0.0437778396479	0.0430601701454	None	20033	None
streets_4514	streets_1266	streets	2850	0.365336433224	None	0.371425373778	0.371425373778	0.365336433224	None	7312	None
streets_4514	streets_4515	streets	950	0.085547095395	None	0.0869728803183	0.0869728803183	0.085547095395	None	1488	None
streets_8388	streets_3772	streets	3800	0.144282921905	None	0.14668763727	0.14668763727	0.144282921905	None	18209	None
streets_8389	streets_4756	streets	1900	0.0474315867946	None	0.056127377707	0.056127377707	0.0474315867946	None	13841	None
streets_8389	streets_5148	streets	1900	0.568776648314	None	0.388664043015	0.388664043015	0.568776648314	None	21500	None
streets_5800	streets_6450	streets	6963	0.0104229099461	None	0.0175452317427	0.0175452317427	0.0104229099461	None	5962	None
streets_5801	streets_7523	streets	6963	0.225618333233	None	0.379790860942	0.379790860942	0.225618333233	None	14231	None
streets_5802	streets_5811	streets	9405	2.13860596764	None	1.10494641662	1.10494641662	2.13860596764	None	10950	None
streets_5803	streets_3309	streets	6963	0.802323302221	None	1.35057755874	1.35057755874	0.802323302221	None	3043	None
streets_5803	streets_8222	streets	2850	1.46839404889	None	0.758670258593	0.758670258593	1.46839404889	None	20246	None
streets_5804	streets_5805	streets	950	0.450542713701	None	0.307870854362	0.307870854362	0.450542713701	None	1310	None
streets_5804	streets_9648	streets	950	0.167584081243	None	0.11451578885	0.11451578885	0.167584081243	None	9409	None
streets_5804	streets_9649	streets	950	0.322899136217	None	0.220647743081	0.220647743081	0.322899136217	None	9410	None
streets_5805	streets_7598	streets	950	0.441862810735	None	0.301939587336	0.301939587336	0.441862810735	None	4465	None
streets_5805	streets_8982	streets	950	0.344571244075	None	0.235457016785	0.235457016785	0.344571244075	None	18694	None
streets_5805	streets_5804	streets	950	0.450542713701	None	0.307870854362	0.307870854362	0.450542713701	None	17199	None
streets_5806	streets_4648	streets	2850	0.318066978358	None	0.323368094663	0.323368094663	0.318066978358	None	15781	None
streets_5807	streets_9651	streets	2850	1.46807338373	None	1.00318347888	1.00318347888	1.46807338373	None	17454	None
streets_5807	streets_10009	streets	2850	1.46817552543	None	1.00325327571	1.00325327571	1.46817552543	None	1051	None
streets_5807	streets_5812	streets	9405	0.558365924117	None	0.288489060794	0.288489060794	0.558365924117	None	20191	None
streets_9112	streets_7833	streets	1900	0.102515368616	None	0.121309852863	0.121309852863	0.102515368616	None	15000	None
streets_6409	streets_1006	streets	2850	0.203770342479	None	0.173204791107	0.173204791107	0.203770342479	None	8499	None
streets_6409	streets_9144	streets	2850	0.459335012462	None	0.390434760593	0.390434760593	0.459335012462	None	19594	None
streets_9891	streets_9192	streets	950	0.222197118298	None	0.225900403603	0.225900403603	0.222197118298	None	17923	None
streets_9891	streets_2918	streets	6963	1.75934098368	None	2.96155732252	2.96155732252	1.75934098368	None	17925	None
streets_9113	streets_655	streets	1900	0.269674087691	None	0.319114337102	0.319114337102	0.269674087691	None	14429	None
streets_1619	streets_6288	streets	2850	0.0122554811776	None	0.0124597391972	0.0124597391972	0.0122554811776	None	15259	None
streets_3146	streets_6659	streets	1900	0.378647785024	None	0.448066545612	0.448066545612	0.378647785024	None	13181	None
streets_9110	streets_9111	streets	950	0.0829420158528	None	0.0843243827837	0.0843243827837	0.0829420158528	None	2424	None
