source	target	uniform_time_m	capacity	weight	dist_km	transfer	layer	congested_time_m	free_flow_time_m
streets_844	streets_4198	0.712164937001	950.0	None	0.374761829741	None	streets	0.828133577501	0.828132238403
streets_844	taz_1947	3.05483092976e-15	10000000000.0	0	3.05483092976e-05	None	taz--streets	3.05483092976e-15	3.05483092976e-15
streets_6491	streets_9757	1.15477791061	6963.0	None	0.607677604217	None	streets	0.559331845913	0.545104860813
streets_6491	streets_3452	0.886790227658	1900.0	None	0.466654718657	None	streets	0.595926202222	0.595477711412
streets_6364	streets_4858	1.8239370507	950.0	None	0.959808537238	None	streets	2.12095762119	2.12094276765
streets_6364	streets_9415	0.234008404142	1900.0	None	0.123142004267	None	streets	0.762496069507	0.157136135023
streets_6364	taz_8064	1.8274834194e-15	10000000000.0	0	1.8274834194e-05	None	taz--streets	1.8274834194e-15	1.8274834194e-15
streets_6365	streets_4275	7.24536307814	2850.0	None	3.81272003608	None	streets	11.1429817829	11.1429817829
streets_6365	streets_10107	2.00430733288	2850.0	None	1.05472460719	None	streets	3.08251772611	3.08251772295
streets_6365	streets_11549	2.38863785406	2850.0	None	1.25697046607	None	streets	3.67359755626	3.67359755567
streets_6366	streets_3377	0.724437843015	2850.0	None	0.381220188578	None	streets	1.11415582789	1.11414674468
streets_6366	streets_9184	0.707750788805	2850.0	None	0.37243897703	None	streets	1.08848294577	1.08848294577
streets_6366	streets_9096	0.0471592609515	6963.0	None	0.0248165698776	None	streets	0.0222612107026	0.0222612003061
streets_6366	streets_2836	0.0491503485393	6963.0	None	0.0258643378717	None	streets	0.0232010806563	0.0232010793186
taz_11270	streets_3428	3.19569790596e-15	10000000000.0	0	3.19569790596e-05	None	taz--streets	3.19569790596e-15	3.19569790596e-15
taz_11271	streets_12797	4.85991198136e-15	10000000000.0	0	4.85991198136e-05	None	taz--streets	4.85991198136e-15	4.85991198136e-15
taz_11272	streets_3206	8.85819235547e-16	10000000000.0	0	8.85819235547e-06	None	taz--streets	8.85819235547e-16	8.85819235547e-16
taz_11273	streets_5000	4.59723552951e-15	10000000000.0	0	4.59723552951e-05	None	taz--streets	4.59723552951e-15	4.59723552951e-15
taz_11274	streets_6767	4.4762544944e-15	10000000000.0	0	4.4762544944e-05	None	taz--streets	4.4762544944e-15	4.4762544944e-15
taz_11275	streets_13672	3.5450471222e-15	10000000000.0	0	3.5450471222e-05	None	taz--streets	3.5450471222e-15	3.5450471222e-15
taz_11276	streets_4492	2.98669673854e-15	10000000000.0	0	2.98669673854e-05	None	taz--streets	2.98669673854e-15	2.98669673854e-15
taz_11277	streets_10506	4.28341187041e-15	10000000000.0	0	4.28341187041e-05	None	taz--streets	4.28341187041e-15	4.28341187041e-15
streets_13134	streets_14047	0.0689538039169	950.0	None	0.0362854900331	None	streets	0.0884471900202	0.0538928753606
streets_13134	streets_10814	0.489841729703	2850.0	None	0.257768914713	None	streets	0.382850224146	0.382850224146
streets_13135	streets_58	0.844493851736	2850.0	None	0.444397139818	None	streets	0.660040335384	0.660039030614
streets_13136	streets_12364	0.358279359356	1900.0	None	0.188536982509	None	streets	0.240584194793	0.240583811483
streets_13136	streets_2449	1.67653326364	2850.0	None	0.882240392439	None	streets	1.94953608671	1.94953608671
streets_13136	taz_6452	7.45598146533e-16	10000000000.0	0	7.45598146533e-06	None	taz--streets	7.45598146533e-16	7.45598146533e-16
streets_13137	streets_10485	0.168360315491	6963.0	None	0.0885960774128	None	streets	0.0877511990433	0.0794733130059
streets_13130	streets_13134	0.19529539544	2850.0	None	0.102770097112	None	streets	0.15384709951	0.152638865547
streets_13131	streets_10436	0.673375953534	950.0	None	0.354349942463	None	streets	0.783612649267	0.783026946028
