id	layer	num1	num2	num3	intermodality	lon	pos	Station	st_x	st_y	lat
taz_5565	taz	1738	1109	1020	0.395946264436	46.844611	(24.740095999999998, 46.844611)	None	None	None	24.740096
taz_5566	taz	1737	3575	683	0.492104642941	46.851898	(24.733589000000002, 46.851898)	None	None	None	24.733589
taz_5567	taz	2254	5581	1324	0.256422342682	46.765148	(24.586833, 46.765147999999996)	None	None	None	24.586833
taz_1503	taz	359	8296	481	0.409615837851	46.555755	(24.564923, 46.555755)	None	None	None	24.564923
taz_1500	taz	3521	9697	658	0.171105349988	46.652156	(24.7337, 46.652156)	None	None	None	24.7337
taz_1501	taz	585	3643	499	0.105114305916	46.692011	(24.531268, 46.692011)	None	None	None	24.531268
streets_10078	streets	None	None	None	None	None	(24.626591327569, 46.74853119810471)	None	46.7485311981	24.6265913276	None
streets_10079	streets	None	None	None	None	None	(24.6984638407919, 46.7722909457228)	None	46.7722909457	24.6984638408	None
streets_10098	streets	None	None	None	None	None	(24.7974440278337, 46.6436045439682)	None	46.643604544	24.7974440278	None
streets_10070	streets	None	None	None	None	None	(24.915179440561598, 46.973782109697105)	None	46.9737821097	24.9151794406	None
streets_10071	streets	None	None	None	None	None	(24.641609665881802, 46.5890126866271)	None	46.5890126866	24.6416096659	None
streets_10072	streets	None	None	None	None	None	(24.5123686268579, 46.724057205903904)	None	46.7240572059	24.5123686269	None
streets_10073	streets	None	None	None	None	None	(24.807536366634103, 46.653210318237704)	None	46.6532103182	24.8075363666	None
streets_10074	streets	None	None	None	None	None	(24.6506687524358, 46.842066313079)	None	46.8420663131	24.6506687524	None
streets_10075	streets	None	None	None	None	None	(24.7669426724547, 46.8399397154848)	None	46.8399397155	24.7669426725	None
taz_12967	taz	688	1441	376	0.100872024511	46.844817	(24.669739, 46.844817)	None	None	None	24.669739
taz_12966	taz	687	119	376	0.120433655432	46.854793	(24.674383, 46.854793)	None	None	None	24.674383
taz_12648	taz	1924	8855	111	0.397124675937	46.718981	(24.703422, 46.718981)	None	None	None	24.703422
taz_1508	taz	2303	8453	335	0.715295781287	46.723111	(24.606214, 46.723110999999996)	None	None	None	24.606214
taz_1509	taz	2304	1102	317	0.619844449682	46.719179	(24.609806, 46.719179)	None	None	None	24.609806
streets_14513	streets	None	None	None	None	None	(24.6403963372791, 46.75202456633139)	None	46.7520245663	24.6403963373	None
streets_14512	streets	None	None	None	None	None	(24.813878482333998, 46.8243047631655)	None	46.8243047632	24.8138784823	None
streets_14511	streets	None	None	None	None	None	(24.811978132119304, 46.826883375868796)	None	46.8268833759	24.8119781321	None
streets_14510	streets	None	None	None	None	None	(24.8053932521346, 46.815838622179605)	None	46.8158386222	24.8053932521	None
streets_14517	streets	None	None	None	None	None	(24.666674513339895, 46.760526059204295)	None	46.7605260592	24.6666745133	None
streets_14516	streets	None	None	None	None	None	(24.599086014122896, 46.7754364934845)	None	46.7754364935	24.5990860141	None
streets_14515	streets	None	None	None	None	None	(24.7076238732061, 46.833296904299004)	None	46.8332969043	24.7076238732	None
streets_14514	streets	None	None	None	None	None	(24.752075470348398, 46.619578111235704)	None	46.6195781112	24.7520754703	None
streets_14519	streets	None	None	None	None	None	(24.9130173560533, 46.7185697571989)	None	46.7185697572	24.9130173561	None
streets_14518	streets	None	None	None	None	None	(24.6406876792479, 46.72310909563029)	None	46.7231090956	24.6406876792	None
taz_14570	taz	3049	7847	1057	0.120197973132	46.714384	(24.671654999999998, 46.714384)	None	None	None	24.671655
taz_14573	taz	3050	6090	1057	0.120197973132	46.712995	(24.671198999999998, 46.712995)	None	None	None	24.671199
streets_1449	streets	None	None	None	None	None	(24.614720749607702, 46.696679306202405)	None	46.6966793062	24.6147207496	None
streets_9637	streets	None	None	None	None	None	(24.786624005706802, 46.5707581008433)	None	46.5707581008	24.7866240057	None
streets_9636	streets	None	None	None	None	None	(24.7243213406596, 46.690429445079204)	None	46.6904294451	24.7243213407	None
streets_9635	streets	None	None	None	None	None	(24.6502203039113, 46.7008832884431)	None	46.7008832884	24.6502203039	None
streets_9634	streets	None	None	None	None	None	(24.7623329048518, 46.6884270828672)	None	46.6884270829	24.7623329049	None
streets_9633	streets	None	None	None	None	None	(24.7287622114125, 46.7580633427101)	None	46.7580633427	24.7287622114	None
streets_318	streets	None	None	None	None	None	(24.869427965707, 46.548708886479)	None	46.5487088865	24.8694279657	None
streets_319	streets	None	None	None	None	None	(24.8146940698059, 46.67067508603029)	None	46.670675086	24.8146940698	None
streets_316	streets	None	None	None	None	None	(24.596276058917898, 46.5964511482816)	None	46.5964511483	24.5962760589	None
streets_317	streets	None	None	None	None	None	(24.693059022281602, 46.7302190036776)	None	46.7302190037	24.6930590223	None
streets_314	streets	None	None	None	None	None	(24.690856576696, 46.7832050430177)	None	46.783205043	24.6908565767	None
streets_315	streets	None	None	None	None	None	(24.680746060566896, 46.6915848144489)	None	46.6915848144	24.6807460606	None
streets_312	streets	None	None	None	None	None	(24.8234117724092, 46.8035241067307)	None	46.8035241067	24.8234117724	None
streets_313	streets	None	None	None	None	None	(24.812415339186, 46.7809056371902)	None	46.7809056372	24.8124153392	None
streets_310	streets	None	None	None	None	None	(24.6902148267041, 46.857886389783104)	None	46.8578863898	24.6902148267	None
streets_311	streets	None	None	None	None	None	(24.5152697808143, 46.3415305769703)	None	46.341530577	24.5152697808	None
taz_7057	taz	787	3938	445	0.432948385576	46.791267	(24.834833, 46.791267)	None	None	None	24.834833
taz_7054	taz	786	3851	445	0.433419750177	46.793961	(24.835975, 46.793960999999996)	None	None	None	24.835975
streets_7297	streets	None	None	None	None	None	(24.7678596738722, 46.711198499965896)	None	46.7111985	24.7678596739	None
streets_7296	streets	None	None	None	None	None	(24.6682948345651, 46.7216102507846)	None	46.7216102508	24.6682948346	None
streets_7295	streets	None	None	None	None	None	(24.944872161575198, 46.998795060313505)	None	46.9987950603	24.9448721616	None
streets_7293	streets	None	None	None	None	None	(24.6507313066294, 46.7749764741164)	None	46.7749764741	24.6507313066	None
streets_7292	streets	None	None	None	None	None	(24.822553647572697, 46.8460912789524)	None	46.846091279	24.8225536476	None
streets_7290	streets	None	None	None	None	None	(24.7978626719172, 46.6323737405763)	None	46.6323737406	24.7978626719	None
streets_7299	streets	None	None	None	None	None	(24.6306916291567, 46.74200857388121)	None	46.7420085739	24.6306916292	None
streets_7298	streets	None	None	None	None	None	(24.7956437434272, 46.7671605407094)	None	46.7671605407	24.7956437434	None
streets_1192	streets	None	None	None	None	None	(24.7289267249605, 46.6669857456085)	None	46.6669857456	24.728926725	None
streets_1193	streets	None	None	None	None	None	(24.680640877256998, 46.6907026908388)	None	46.6907026908	24.6806408773	None
streets_1190	streets	None	None	None	None	None	(24.682274370379897, 46.7583673604779)	None	46.7583673605	24.6822743704	None
streets_1191	streets	None	None	None	None	None	(24.5983407893148, 46.7381430337469)	None	46.7381430337	24.5983407893	None
streets_1196	streets	None	None	None	None	None	(24.7435897382898, 46.669419360624396)	None	46.6694193606	24.7435897383	None
taz_749	taz	1195	1916	398	0.711053499882	46.77587	(24.526329, 46.77587)	None	None	None	24.526329
streets_1194	streets	None	None	None	None	None	(24.613767963564502, 46.72547696262671)	None	46.7254769626	24.6137679636	None
streets_1195	streets	None	None	None	None	None	(24.6482634399955, 46.7161582068988)	None	46.7161582069	24.64826344	None
taz_744	taz	4227	4067	25	0.183125147301	46.663319	(24.711128, 46.663319)	None	None	None	24.711128
taz_745	taz	4228	7689	23	0.218713174641	46.666379	(24.718972, 46.666379)	None	None	None	24.718972
streets_1198	streets	None	None	None	None	None	(24.6289935643663, 46.75912664284821)	None	46.7591266428	24.6289935644	None
streets_1199	streets	None	None	None	None	None	(24.685786375339603, 46.688785802934504)	None	46.6887858029	24.6857863753	None
streets_14571	streets	None	None	None	None	None	(24.6815567736693, 46.6981510502063)	None	46.6981510502	24.6815567737	None
streets_11851	streets	None	None	None	None	None	(24.602765867172398, 46.773276985089396)	None	46.7732769851	24.6027658672	None
streets_11850	streets	None	None	None	None	None	(24.947670363473897, 47.016403472399595)	None	47.0164034724	24.9476703635	None
streets_11853	streets	None	None	None	None	None	(24.6827478811073, 46.7111358080717)	None	46.7111358081	24.6827478811	None
streets_11852	streets	None	None	None	None	None	(24.7512408298163, 46.649120239721405)	None	46.6491202397	24.7512408298	None
streets_11854	streets	None	None	None	None	None	(24.6191118799471, 46.7277441708958)	None	46.7277441709	24.6191118799	None
streets_11859	streets	None	None	None	None	None	(24.550002882469002, 46.9268073976997)	None	46.9268073977	24.5500028825	None
streets_11858	streets	None	None	None	None	None	(24.8330155449123, 46.6181789881903)	None	46.6181789882	24.8330155449	None
streets_11355	streets	None	None	None	None	None	(24.6504061114856, 46.7306740834665)	None	46.7306740835	24.6504061115	None
taz_13790	taz	2593	963	1113	0.713410322885	46.644519	(24.59805, 46.644519)	None	None	None	24.59805
streets_14574	streets	None	None	None	None	None	(24.647737780393, 46.7359848880028)	None	46.735984888	24.6477377804	None
streets_14577	streets	None	None	None	None	None	(24.659634843376303, 46.7553959844225)	None	46.7553959844	24.6596348434	None
streets_14576	streets	None	None	None	None	None	(24.7101319436085, 46.83695285078589)	None	46.8369528508	24.7101319436	None
taz_9064	taz	3619	2288	285	0.455573886401	46.719756	(24.638534, 46.719756)	None	None	None	24.638534
taz_2107	taz	850	9044	1327	0.219891586142	46.784829	(24.566322, 46.784828999999995)	None	None	None	24.566322
taz_9067	taz	3615	3628	291	0.39995286354	46.728845	(24.641879, 46.728845)	None	None	None	24.641879
taz_9066	taz	3616	435	288	0.311336318642	46.730142	(24.646017, 46.730142)	None	None	None	24.646017
streets_5639	streets	None	None	None	None	None	(24.7743624339468, 46.64783034952661)	None	46.6478303495	24.7743624339	None
streets_5638	streets	None	None	None	None	None	(24.601335717181, 46.67527888490871)	None	46.6752788849	24.6013357172	None
streets_5633	streets	None	None	None	None	None	(24.5693924974119, 46.83718941173571)	None	46.8371894117	24.5693924974	None
streets_5631	streets	None	None	None	None	None	(24.6976500955047, 46.7231630276684)	None	46.7231630277	24.6976500955	None
streets_5637	streets	None	None	None	None	None	(24.600122096276497, 46.676424317054604)	None	46.6764243171	24.6001220963	None
streets_5636	streets	None	None	None	None	None	(24.699371165862498, 46.8407282700219)	None	46.84072827	24.6993711659	None
streets_5635	streets	None	None	None	None	None	(24.630793835205697, 46.67783778133579)	None	46.6778377813	24.6307938352	None
streets_5634	streets	None	None	None	None	None	(24.6872527018808, 46.558150509916)	None	46.5581505099	24.6872527019	None
taz_9060	taz	3618	27	288	0.335140230969	46.728652	(24.648108999999998, 46.728652000000004)	None	None	None	24.648109
taz_9063	taz	3620	2761	285	0.539241102993	46.718199	(24.639557, 46.718199)	None	None	None	24.639557
streets_10517	streets	None	None	None	None	None	(24.8073841775366, 46.6532967076256)	None	46.6532967076	24.8073841775	None
streets_10516	streets	None	None	None	None	None	(24.663000379417, 46.7019136303)	None	46.7019136303	24.6630003794	None
streets_10515	streets	None	None	None	None	None	(24.7696926628124, 46.7155258031559)	None	46.7155258032	24.7696926628	None
streets_10514	streets	None	None	None	None	None	(24.8190526675628, 46.8367655230421)	None	46.836765523	24.8190526676	None
streets_10513	streets	None	None	None	None	None	(24.823860648270802, 46.7268900895943)	None	46.7268900896	24.8238606483	None
streets_10511	streets	None	None	None	None	None	(24.6847037201511, 46.7810997684327)	None	46.7810997684	24.6847037202	None
streets_10510	streets	None	None	None	None	None	(24.826982558538898, 46.72530472686729)	None	46.7253047269	24.8269825585	None
streets_1037	streets	None	None	None	None	None	(24.680636943456303, 46.6473983537376)	None	46.6473983537	24.6806369435	None
streets_10519	streets	None	None	None	None	None	(24.650094989485197, 46.78809660701071)	None	46.788096607	24.6500949895	None
streets_10518	streets	None	None	None	None	None	(24.861568244306397, 46.99313052145779)	None	46.9931305215	24.8615682443	None
streets_12009	streets	None	None	None	None	None	(24.743285381392997, 46.8123963169931)	None	46.812396317	24.7432853814	None
streets_1036	streets	None	None	None	None	None	(24.8198740810465, 46.63579072569839)	None	46.6357907257	24.819874081	None
streets_12003	streets	None	None	None	None	None	(24.680097419180196, 46.7418014827744)	None	46.7418014828	24.6800974192	None
streets_12002	streets	None	None	None	None	None	(24.5781632915767, 46.8272103535212)	None	46.8272103535	24.5781632916	None
